reservation_status_date,reservation_status_date_id
2015-07-02,1
2015-07-03,2
2015-05-06,3
2015-04-22,4
2015-06-23,5
2015-07-05,6
2015-07-06,7
2015-07-07,8
2015-07-01,9
2015-07-08,10
2015-05-11,11
2015-07-15,12
2015-07-16,13
2015-05-29,14
2015-05-19,15
2015-06-19,16
2015-05-23,17
2015-05-18,18
2015-07-09,19
2015-06-02,20
2015-07-13,21
2015-07-04,22
2015-06-29,23
2015-06-16,24
2015-06-18,25
2015-06-12,26
2015-06-09,27
2015-05-26,28
2015-07-11,29
2015-07-12,30
2015-07-17,31
2015-04-15,32
2015-05-13,33
2015-07-10,34
2015-05-20,35
2015-05-12,36
2015-07-14,37
2015-06-17,38
2015-05-01,39
2015-03-30,40
2015-07-19,41
2015-06-03,42
2015-06-26,43
2015-05-14,44
2015-07-20,45
2015-05-07,46
2015-05-28,47
2015-04-13,48
2015-03-25,49
2015-07-21,50
2015-06-27,51
2015-07-18,52
2015-07-23,53
2015-06-08,54
2015-06-22,55
2015-06-24,56
2015-03-05,57
2015-06-01,58
2015-04-24,59
2015-07-22,60
2015-05-27,61
2015-04-06,62
2015-04-11,63
2015-07-25,64
2015-07-28,65
2015-07-29,66
2015-06-25,67
2015-07-24,68
2015-06-05,69
2015-06-30,70
2015-06-13,71
2015-06-11,72
2015-07-30,73
2015-07-27,74
2015-04-29,75
2015-06-04,76
2015-07-26,77
2015-08-01,78
2015-08-02,79
2015-06-15,80
2015-04-23,81
2015-07-31,82
2015-05-25,83
2015-08-03,84
2015-04-17,85
2015-08-04,86
2015-08-06,87
2015-05-15,88
2015-05-09,89
2015-03-17,90
2015-05-22,91
2015-08-07,92
2015-04-04,93
2015-08-05,94
2015-08-08,95
2015-08-10,96
2015-05-04,97
2015-06-06,98
2015-08-09,99
2015-08-15,100
2015-08-11,101
2015-03-28,102
2015-08-14,103
2015-08-12,104
2015-08-16,105
2015-05-16,106
2015-08-21,107
2015-08-13,108
2015-08-17,109
2015-04-20,110
2015-08-18,111
2015-08-23,112
2015-08-22,113
2015-08-19,114
2015-08-20,115
2015-08-29,116
2015-03-31,117
2015-05-30,118
2015-08-25,119
2015-04-14,120
2015-08-24,121
2015-03-24,122
2015-05-21,123
2015-08-28,124
2015-08-26,125
2015-08-27,126
2015-08-30,127
2015-08-31,128
2015-09-06,129
2015-09-03,130
2015-09-04,131
2015-09-02,132
2015-09-01,133
2015-09-05,134
2015-06-20,135
2015-09-07,136
2015-09-10,137
2015-09-11,138
2015-09-08,139
2015-09-09,140
2015-09-13,141
2015-09-15,142
2015-04-10,143
2014-11-18,144
2015-09-12,145
2015-09-17,146
2015-09-14,147
2015-01-02,148
2015-04-07,149
2015-09-19,150
2015-09-16,151
2015-09-20,152
2015-10-23,153
2015-01-22,154
2015-01-01,155
2015-09-22,156
2015-09-24,157
2015-09-18,158
2015-09-21,159
2015-09-30,160
2015-09-25,161
2015-09-27,162
2015-09-28,163
2015-10-12,164
2015-09-29,165
2015-09-23,166
2015-10-01,167
2015-09-26,168
2015-04-18,169
2015-10-02,170
2015-10-04,171
2015-10-08,172
2015-10-03,173
2015-10-07,174
2015-10-09,175
2015-10-11,176
2015-10-05,177
2015-10-06,178
2015-10-10,179
2015-10-14,180
2015-10-15,181
2015-10-18,182
2015-10-13,183
2015-10-20,184
2015-10-19,185
2015-10-31,186
2015-10-16,187
2015-10-21,188
2015-10-22,189
2015-10-17,190
2015-10-24,191
2015-10-25,192
2015-10-28,193
2015-10-27,194
2015-10-26,195
2015-10-30,196
2015-11-05,197
2015-10-29,198
2015-11-03,199
2015-11-07,200
2015-11-04,201
2015-11-01,202
2015-11-02,203
2015-11-17,204
2015-11-06,205
2015-11-10,206
2015-11-08,207
2015-11-09,208
2015-11-15,209
2015-11-16,210
2015-11-11,211
2015-11-12,212
2015-11-14,213
2015-11-13,214
2015-11-18,215
2015-11-22,216
2015-11-19,217
2015-11-21,218
2015-11-20,219
2015-11-24,220
2015-11-25,221
2015-11-23,222
2015-11-28,223
2015-11-26,224
2015-11-27,225
2015-11-29,226
2015-12-04,227
2015-12-06,228
2015-12-08,229
2015-12-03,230
2015-12-31,231
2015-12-05,232
2015-12-10,233
2015-12-17,234
2015-11-30,235
2015-12-12,236
2015-12-07,237
2015-12-02,238
2016-01-05,239
2015-12-11,240
2015-12-13,241
2015-12-15,242
2015-12-16,243
2015-12-19,244
2015-12-18,245
2015-12-26,246
2015-12-27,247
2015-12-22,248
2015-12-23,249
2015-12-24,250
2015-12-29,251
2015-12-28,252
2015-12-20,253
2015-12-30,254
2016-01-02,255
2016-01-01,256
2015-12-25,257
2015-12-01,258
2016-01-03,259
2016-01-04,260
2016-01-11,261
2016-01-07,262
2015-12-21,263
2016-01-09,264
2016-01-10,265
2016-01-08,266
2016-01-06,267
2016-01-12,268
2016-01-13,269
2016-01-23,270
2016-02-09,271
2016-01-15,272
2016-01-16,273
2016-01-17,274
2016-01-19,275
2016-01-18,276
2016-01-21,277
2016-01-24,278
2016-01-22,279
2016-01-29,280
2016-01-27,281
2016-01-25,282
2016-03-08,283
2016-01-26,284
2016-01-20,285
2016-01-30,286
2016-02-01,287
2016-02-02,288
2016-02-08,289
2016-02-07,290
2016-01-28,291
2016-02-05,292
2016-02-03,293
2016-02-13,294
2016-02-10,295
2016-02-04,296
2016-02-12,297
2016-02-11,298
2016-02-16,299
2016-02-14,300
2016-02-15,301
2016-02-20,302
2016-02-06,303
2016-01-14,304
2016-02-17,305
